Episode ,xVel,yVel,yawRate,pitchRate,zVel,rollRate,work,groundContact,tailStatus,baseReward,crash,simpleTrainingPenalties,yPos,orientation
Weights: ,1,0,0,0,0,0,0,0,0,0,0,0,0,1

Config:
keepBalance, "True"
RandomXVelocity, "True"
RandomYVelocity, "False"
RandomAngularVelocity, "False"
RandomStart, "True"
LongEpisodes, "False"
Swimming, "True"
Transition, "False"
Landing, "False"
2D, "False"
LegPhases, "False"
LegAmplitudes, "False"
LegRotations, "False"
SpinePhases, "True"
SpineAmplitudes, "True"
SpinePitch, "True"
Buoyancy, "True"
Tail, "True"
Analysis, "False"

Values:
2,8.126559,0,0,0,0,0,0,0,0,0,0,0,0,22.73109
2,8.126833,0,0,0,0,0,0,0,0,0,0,0,0,26.5644
2,12.80413,0,0,0,0,0,0,0,0,0,0,0,0,19.5832
2,8.206644,0,0,0,0,0,0,0,0,0,0,0,0,16.81981
2,12.25949,0,0,0,0,0,0,0,0,0,0,0,0,26.66242
2,11.00433,0,0,0,0,0,0,0,0,0,0,0,0,22.7224
2,9.289522,0,0,0,0,0,0,0,0,0,0,0,0,21.12218
2,11.61839,0,0,0,0,0,0,0,0,0,0,0,0,24.42696
2,12.28369,0,0,0,0,0,0,0,0,0,0,0,0,23.02897
2,13.18941,0,0,0,0,0,0,0,0,0,0,0,0,25.69279
2,6.598188,0,0,0,0,0,0,0,0,0,0,0,0,19.67213
2,14.87862,0,0,0,0,0,0,0,0,0,0,0,0,26.72571
2,14.06834,0,0,0,0,0,0,0,0,0,0,0,0,22.89542
2,15.13731,0,0,0,0,0,0,0,0,0,0,0,0,19.19312
2,13.11444,0,0,0,0,0,0,0,0,0,0,0,0,25.238
